adtl nfbr ryjn vabn rajb krpy wncr ksxt gbti qtzj gzst qbqx hltm ghje mxxb xnni zmgc ybnj hxnm ybtu vdar wqts zxgh jnpv kvhk nmhe doua nmyt oxqv efsd chak asyg eixq drkk mdpv pyod zkdo gmmy dfiq dqqu gmkf axld ykdx cebj gdul jlvy qfrx gwmn pvtm yqlv rszy whnn ckow lsws usta xnmb smrr fxwx odlz flin wlmu jfzd qqaa usik rrfv svcc tqff ckyy kgrh uukh faez gvdk peve zggc fqsu strq bpfi sdtn opis demw voti dnip nlgj klmk hcjg rrns syly ilnr kpzd rion vahq oxgz gvsl vaes slpt zsht eamc exut lapn bokf
3.17067 1.6816 0.711141 6.1463 9.02206 8.21332 6.67506 2.50571 4.41021 9.13872 0 6.18356 9.25581 6.17787 2.6382 0.492666 6.24507 3.50054 0.339251 1.7968 6.14616 4.29607 5.72753 7.33069 3.80233 3.71987 3.82514 0.957397 5.87284 4.23984 1.19698 3.3201 6.88313 5.68344 8.73152 5.36542 9.74793 0.696389 4.80591 1.19031 9.92257 5.5402 7.01717 1.35965 4.80234 0.687535 4.50656 9.18797 4.45116 8.59926 9.97205 5.53809 1.33041 8.47862 1.98355 6.67702 6.5971 9.73461 4.6304 1.67753 1.47793 2.90499 9.73234 6.01977 8.53686 0.722572 9.26367 9.499 4.72001 2.89409 4.65648 4.36516 8.67478 2.06644 3.90918 7.61604 8.16082 6.76011 7.24369 6.86531 3.20846 1.76798 6.91161 9.21726 1.74107 0.137802 1.84543 1.8637 2.06072 6.71591 6.77708 5.22307 3.30171 4.72298 3.27616 1.02707 8.71733 4.5067 1.56297 6.55526 
0.19254 0.571622 5.2411 6.71286 7.72346 7.95448 3.30195 1.3221 3.58791 8.29648 6.18356 0 9.42562 8.83527 6.64318 2.11874 1.78643 0.259138 1.7376 1.17992 3.6758 5.65522 9.64201 2.53039 0.336223 0.397398 8.8731 8.87488 9.14091 5.51927 1.8085 4.92177 8.16275 9.37243 5.87233 5.53417 4.77035 7.55803 3.38989 1.80734 5.17834 3.86622 8.29883 9.67367 0.147301 3.08376 4.6002 8.91548 8.45097 2.57852 7.36572 8.41161 4.28732 7.11394 4.11815 5.31037 5.30305 1.00618 4.09651 7.84309 2.72141 3.1478 1.93118 7.5906 6.24466 6.48892 3.3404 1.6269 1.92511 4.60647 5.37849 1.70804 9.26512 4.14967 0.408756 1.75612 5.69411 9.85577 1.48856 3.40234 3.16027 3.60783 1.71239 3.28929 3.85787 6.44962 6.06288 0.47306 3.41752 0.874319 5.48588 4.96211 2.94993 2.60191 4.44927 6.62028 3.32323 0.116477 9.72969 1.09861 
1.12759 6.65374 9.29858 5.00174 1.79088 3.80507 8.70496 7.31023 3.55665 9.70596 9.25581 9.42562 0 3.25193 9.5596 3.55776 1.73752 9.85634 1.25278 0.514661 9.61346 7.87428 2.28186 1.10446 2.62017 4.43136 2.50581 2.89768 5.53736 8.83479 8.53133 6.73763 5.62034 7.60255 9.02976 8.54846 7.621 2.41611 9.98307 2.6867 3.8129 3.06508 7.48067 9.91916 7.6865 4.34324 6.45248 4.69163 1.11443 1.90062 8.64727 5.08324 9.31665 8.99056 2.98254 6.3285 9.75646 5.48608 8.32362 0.642618 1.97726 9.75541 7.67557 8.71179 0.420154 5.23253 3.81683 9.6997 2.01216 2.36286 6.00978 8.97539 5.53984 0.939251 7.79214 7.73379 7.11314 0.614164 8.84729 0.809201 9.94715 2.77218 5.04775 6.90444 7.5095 9.45201 6.9281 9.12655 1.79515 8.17179 2.89999 4.87058 9.11744 7.06151 4.05315 1.76752 9.03469 2.17964 5.52881 3.79049 
5.2575 1.33695 2.2831 5.75867 5.76717 0.195118 4.47947 6.51594 2.88729 8.15147 6.17787 8.83527 3.25193 0 2.70521 8.08635 2.43475 6.62323 3.42249 5.26909 4.58354 6.10801 6.70433 0.315482 8.21013 3.83542 5.46378 9.70003 7.48821 7.95353 7.61112 4.58696 4.12682 2.51783 7.05257 2.21681 6.64566 4.12979 2.83629 3.49717 3.08448 6.91517 9.54749 7.804 9.03281 0.314395 9.74498 0.632145 4.15858 1.71915 7.98078 0.214628 6.05986 9.22253 1.18828 5.49565 0.82308 5.60952 3.89547 4.86615 3.97024 4.14586 5.63518 9.41667 7.02039 5.9374 0.210317 2.89935 3.93509 7.48336 5.70033 5.58766 2.759 1.25992 1.70004 3.60762 8.10227 2.73077 1.99754 4.20305 6.51673 5.34368 0.821262 4.75246 3.85166 1.07869 4.98322 1.41487 2.24083 4.43908 3.59595 9.93868 8.93228 3.5644 4.44759 8.03613 9.82347 3.08206 5.80871 5.56402 
7.78121 9.49666 2.12517 5.92999 0.410897 4.84981 9.18788 2.09205 9.19927 7.99894 2.6382 6.64318 9.5596 2.70521 0 1.51812 5.11479 5.04837 7.32345 0.917716 2.24892 1.81198 3.91367 3.80875 2.7172 1.73038 8.57938 2.52973 8.94432 7.93245 9.64555 2.58238 2.9124 5.54316 7.21709 5.20138 4.9162 3.5835 8.59892 4.18088 0.301991 9.16531 9.5992 5.72946 9.97903 4.06518 5.91784 8.08291 4.14143 0.529732 5.49981 1.38798 5.78952 9.69528 6.84522 2.15137 5.68223 8.32376 2.99944 3.13001 9.78205 9.85073 5.87868 3.3954 5.26358 0.915708 8.09662 6.8484 5.98817 2.12112 2.08398 1.72297 2.8798 2.0549 7.95124 8.73108 7.91308 0.998381 1.68407 2.54555 7.63825 5.21899 3.97875 8.69312 3.39368 6.00736 7.82408 9.86862 9.5481 8.24571 7.79268 6.89566 8.43529 6.31718 7.7071 4.02689 5.89405 4.25851 8.03583 4.82981 
2.28478 4.89339 0.981027 4.469 8.05235 6.42667 2.83901 8.50208 6.29891 8.41398 0.492666 2.11874 3.55776 8.08635 1.51812 0 6.93865 8.15486 5.5541 3.01845 5.91116 4.79577 8.99653 4.34949 2.6732 4.69392 0.100388 6.61484 1.00922 5.66683 6.82252 6.70947 7.47811 6.5594 9.82169 2.86895 7.84942 0.151298 0.959445 0.686052 9.27502 2.22513 7.83543 2.61125 2.93725 7.40781 3.02899 4.78458 9.10874 9.23831 8.92868 2.58148 7.54882 6.8707 4.73426 4.79183 2.16665 5.11326 8.98793 8.36716 9.59119 9.73371 9.19251 1.57217 2.70261 4.02523 7.73736 7.72912 7.77959 4.59934 4.24486 6.39958 6.50625 7.44582 8.31197 2.79414 7.82419 1.88604 1.28797 7.8983 9.91935 0.864825 4.30683 8.42705 6.37207 9.45362 4.3605 9.46503 8.00573 3.83407 2.54324 8.30418 0.511874 2.36315 1.0306 8.62815 0.530562 9.55105 8.2599 8.70323 
0.64726 6.24835 7.02694 1.59705 5.26992 6.5003 9.52236 0.323308 7.47134 4.54233 6.24507 1.78643 1.73752 2.43475 5.11479 6.93865 0 5.16854 7.52603 9.98316 4.23283 2.19486 4.0967 1.17816 3.68437 1.05908 2.11887 3.93219 8.25344 9.00215 9.66178 8.18895 4.22671 8.19266 7.27714 4.63939 4.20949 5.96779 6.07326 6.70844 9.87556 7.41706 0.141601 6.29207 1.38876 8.97135 6.81054 3.35046 2.44465 4.56945 6.83936 2.66241 1.54533 7.06811 6.02792 6.94057 0.82975 8.80849 2.10934 2.24572 7.35273 7.87766 9.58633 7.18306 7.43072 2.03277 2.23293 0.302535 8.40768 7.63219 2.26438 4.25996 2.77994 6.80083 8.37487 0.599873 6.26586 6.37355 4.63155 1.18426 7.27982 0.273421 4.18708 5.42793 1.11235 6.43951 4.41415 0.375225 2.50053 3.36601 6.35524 3.82011 5.49194 7.71162 0.881517 7.65094 0.57782 1.92748 4.75627 8.40096 
0.799285 9.14885 7.09397 5.07252 8.63006 6.48449 1.26065 1.14507 1.65965 6.45674 3.50054 0.259138 9.85634 6.62323 5.04837 8.15486 5.16854 0 3.45068 3.74666 8.5526 7.88845 2.85778 8.17144 7.06298 8.98913 8.71672 4.18687 1.90161 5.58899 5.35621 3.57459 7.28038 9.7227 2.42974 1.4944 2.45369 8.03545 8.24077 4.07005 8.6921 6.06347 0.482732 7.5758 4.92835 9.78815 3.617 7.32585 1.73393 8.8009 3.17224 6.80808 1.58867 2.94972 9.0764 0.319472 5.95797 9.4515 8.31038 5.72428 2.19229 0.400753 5.86296 6.4523 1.63508 0.77581 3.1445 5.78563 3.74923 2.17933 0.446213 7.59381 0.74575 2.82594 7.72888 3.80465 3.09842 3.60889 9.67581 6.26059 7.00847 3.53125 1.62886 5.20849 5.69806 6.99453 6.92097 8.0959 4.64252 7.3877 1.70179 3.34562 0.223369 4.46232 8.07439 9.33766 5.67854 5.71389 5.79896 9.87909 
1.68671 0.277651 4.99685 7.3405 2.84426 8.01044 4.21847 1.96099 7.78653 6.96987 0.339251 1.7376 1.25278 3.42249 7.32345 5.5541 7.52603 3.45068 0 7.31169 1.20063 5.15717 4.50041 4.80027 5.49536 5.8933 1.57008 7.28366 5.30202 3.51737 5.91915 0.426275 9.09863 7.59996 5.12888 4.15051 4.68577 1.70908 6.96352 0.443229 6.9583 1.80012 2.58218 9.4756 7.45995 8.21891 2.95822 3.39312 6.58995 8.36684 4.30071 4.46975 4.37117 0.684554 3.89321 6.47843 5.22831 2.16797 7.4045 6.91962 5.18187 3.7335 5.07275 1.32486 4.21434 8.15102 0.388359 5.4515 1.24788 7.35558 6.35711 5.54185 5.15674 7.09751 5.1697 7.23739 9.75891 7.08245 9.47009 3.88378 6.33863 1.92513 4.93856 3.11099 6.8997 7.03233 8.50943 4.95357 8.02505 1.87445 4.55328 2.41671 0.332393 5.32412 8.73082 3.45544 4.64131 6.77865 1.9576 6.0077 
7.26526 5.9761 2.69161 0.4134 8.70799 3.8359 8.38012 3.67358 2.59436 8.17602 1.7968 1.17992 0.514661 5.26909 0.917716 3.01845 9.98316 3.74666 7.31169 0 3.6359 8.22724 4.2887 0.613552 8.46563 1.47301 9.24771 8.57501 8.21934 0.320286 9.75159 2.82828 7.3859 1.08183 8.30756 7.84353 0.222401 7.99408 6.09291 0.270555 5.51718 6.30556 0.387635 3.18868 5.8127 3.27413 6.55106 8.16145 7.38274 7.39685 6.89701 1.38455 7.56686 3.23016 0.131869 1.13057 5.73705 8.84973 2.19676 6.19965 2.48554 8.79429 0.977892 3.83192 5.97733 8.05758 3.9586 6.51394 7.99848 0.724371 9.81127 5.95975 9.61967 3.3797 8.65125 2.5819 4.78002 1.67266 8.72044 7.17616 0.493521 0.812615 7.92256 1.94019 0.508934 2.4548 6.85817 2.00829 6.54902 3.50953 2.80683 3.23842 0.325002 9.8034 2.36054 6.65556 2.29001 9.29613 0.711298 7.88375 
3.04052 7.24653 7.14456 0.611005 5.90993 3.64095 9.6291 7.81862 6.15937 4.73527 6.14616 3.6758 9.61346 4.58354 2.24892 5.91116 4.23283 8.5526 1.20063 3.6359 0 2.95605 6.54727 3.90766 1.89347 7.43252 2.64615 5.38194 0.340495 2.89351 4.88886 9.35498 9.67991 5.91199 8.8663 3.52225 8.70588 0.164907 1.99925 3.18847 2.33512 5.14973 8.19767 2.28213 5.48276 1.99976 1.91227 6.48219 8.94709 4.9998 2.8668 1.47679 3.58251 1.91936 6.96296 0.915257 0.527267 3.66914 2.51583 3.03847 5.74971 3.90305 3.57585 8.68013 2.96387 9.19556 3.27537 7.49638 6.65825 7.95894 9.34588 5.20921 7.97064 8.10995 3.1445 5.82213 3.29678 1.09139 0.685913 6.93416 2.03054 4.39028 5.20717 3.29586 5.47793 9.84073 6.16241 0.168907 9.81476 5.31751 6.4679 6.31095 1.99393 2.92337 1.79964 4.49125 9.295 1.52689 4.03412 8.73721 
0.600966 5.01616 3.84583 5.26843 3.9528 3.95605 3.39599 7.22012 8.56057 2.01697 4.29607 5.65522 7.87428 6.10801 1.81198 4.79577 2.19486 7.88845 5.15717 8.22724 2.95605 0 2.03957 7.58541 8.03312 8.70106 8.26017 3.34889 5.7522 6.07115 0.933967 8.07685 1.18055 4.23079 7.46673 3.30359 6.63099 5.0877 5.11739 8.9952 1.84029 4.58511 2.75328 4.14815 4.60083 9.54818 9.59326 4.87427 1.82452 6.88192 5.20633 9.07497 6.00654 4.06409 7.4571 9.80641 3.52432 3.86512 9.63293 8.30775 1.08554 1.41421 1.13364 7.87639 7.96297 7.82313 3.863 3.57542 1.48439 2.50923 1.05897 0.340989 1.29793 7.06818 7.16147 0.979189 5.8378 9.31765 5.91771 5.93739 9.9538 5.80666 0.739858 2.79803 3.82112 2.64185 2.46076 8.12331 9.83052 2.81909 1.42772 0.542158 6.45255 5.82998 6.59095 5.39921 3.57588 9.20414 8.80547 0.867621 
4.83026 0.631574 2.08638 3.27436 8.13776 3.40964 5.3092 6.697 3.21461 4.07539 5.72753 9.64201 2.28186 6.70433 3.91367 8.99653 4.0967 2.85778 4.50041 4.2887 6.54727 2.03957 0 1.7987 8.53416 4.88593 9.57006 1.05047 6.01698 1.31839 4.393 1.29245 4.02662 1.4275 6.64566 4.27375 6.76868 2.65259 4.78674 5.74229 7.82655 1.95208 2.40618 1.62834 6.37304 6.04606 4.90721 1.06192 0.407092 3.49864 7.87116 9.17853 4.19026 9.31981 2.73257 2.53003 4.1301 8.02032 1.50521 5.90887 5.9685 8.13727 6.83657 5.21277 8.25035 6.62277 5.55827 3.89622 7.57209 2.02506 1.365 5.64026 5.7658 7.0475 6.11485 2.71344 7.72402 1.26299 3.89463 0.606647 1.31993 0.567795 1.73152 7.96036 3.5219 2.87311 8.43446 2.30957 1.38735 5.13056 2.69902 3.06245 2.91686 1.19179 5.15582 1.55197 9.80375 8.24166 9.07384 6.90713 
4.6259 4.47216 2.40282 0.447089 5.30413 6.96653 5.40597 5.8516 6.1236 9.31345 7.33069 2.53039 1.10446 0.315482 3.80875 4.34949 1.17816 8.17144 4.80027 0.613552 3.90766 7.58541 1.7987 0 3.15431 2.33874 6.67673 1.71409 2.06722 7.02011 1.19625 0.915254 0.47117 1.35889 1.93912 2.41778 8.48726 8.59119 2.97886 3.74939 4.83895 2.09076 6.68588 6.92759 0.531038 7.65988 2.35426 0.230109 8.84032 2.43243 7.17448 1.92371 0.72431 8.7793 6.43693 0.637541 5.74474 9.37558 9.33962 8.86631 3.66094 3.28703 5.44682 1.83824 9.65669 1.71086 7.22738 9.85931 1.69373 6.47557 6.64008 9.3898 0.819087 7.79946 1.99344 4.48393 5.01503 1.40207 5.02811 3.47425 3.88421 3.7265 6.32423 7.28095 9.36194 7.75458 0.11288 8.67378 5.10473 4.26239 3.991 6.58683 5.42588 6.2769 3.86601 4.7846 9.39728 7.72087 7.68346 2.71108 
5.24789 5.23983 4.41735 2.52691 9.40473 1.53448 8.19926 3.57661 1.34663 4.72537 3.80233 0.336223 2.62017 8.21013 2.7172 2.6732 3.68437 7.06298 5.49536 8.46563 1.89347 8.03312 8.53416 3.15431 0 7.79822 0.970403 6.65635 5.70466 9.09482 3.09707 0.689124 1.50219 4.78918 7.22445 0.19469 7.54701 6.26965 0.73888 6.15221 6.94199 4.9855 9.96099 7.70014 5.86009 7.7487 0.345221 3.13678 4.71688 9.62208 4.2004 1.63222 2.21075 3.73134 8.36753 5.97932 1.9352 5.83773 8.19286 0.630411 4.72501 7.73655 4.005 4.39783 3.32576 3.03808 9.11721 3.08673 5.15668 6.19253 1.59219 2.58277 9.42685 9.84126 5.08145 9.02071 4.95369 0.123135 2.82961 9.99876 9.04577 0.347425 0.567143 0.677791 9.0323 1.62887 5.39661 9.39818 3.13078 2.98592 3.72854 1.00828 9.60855 4.50877 6.62919 4.52345 5.87845 9.48961 5.21788 5.09528 
4.52025 7.74225 4.74803 1.16109 4.25838 2.9861 9.30591 1.65583 3.79925 3.8466 3.71987 0.397398 4.43136 3.83542 1.73038 4.69392 1.05908 8.98913 5.8933 1.47301 7.43252 8.70106 4.88593 2.33874 7.79822 0 3.78191 6.90844 5.43106 4.25453 0.539308 8.0574 1.09428 9.59332 5.84472 6.88141 6.45286 1.17607 8.18049 0.698249 6.37889 5.28483 1.76249 3.80668 7.46398 6.56452 6.73325 1.24082 7.4233 6.03336 9.32214 2.21881 0.705285 5.83334 3.69254 9.68379 1.8405 8.15823 2.71999 9.04903 5.68472 0.577995 4.85944 9.91854 7.02483 1.26913 8.15247 4.93484 0.120144 2.06331 0.798848 4.23035 0.100062 1.14259 9.72752 4.30963 6.00213 9.16787 3.21663 0.420322 8.05594 6.16313 2.35332 4.09915 2.74035 4.75 2.10296 3.85964 6.49343 9.86251 5.90926 2.48587 4.34857 6.9436 2.21481 2.77009 9.53938 0.314619 3.60095 4.84774 
